categ,quality_score,file,page_num,line_num,text,original_text,split_ws,split_we,lang,lang_score,original_lang,orig_lang_score,perplex,word_count,char_count,garbage_density,upper,repeated,ldl_fuses,fused_words,gibberish,weird_wx,word_weird,vowel_ratio,rot_ratio,caps_header,allcaps_novowel,lowppl_clear,cleanprose_clear,trash_threshold,noisy_threshold,clear_threshold,pp_dedup,pp_surrounded_trash,pp_inverted_run,pp_page_context
Non-text,0.0,CTX199603106,1,1,3444/74,3444/74,,,,0.0,,0.0,0.0,0,7,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Empty,0.0,CTX199603106,1,2,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.7999,CTX199603106,1,3,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM VÝZKUMU V DOMĚ ČP. 193/1 NA,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM VÝZKUMU V DOMĚ ČP. 193/1 NA,,,ces_Latn,1.0000,ces_Latn,1.0000,45.25,10,60,0.0333,0,0,0,0,0,0,0.0850,0.4043,0.5333,True,False,False,False,False,True,False,False,False,False,False
Clear,0.9848,CTX199603106,1,4,KŘIŽOVNICKÉN NÁMĚSTÍ NA STARÉM MĚSTĚ PRAŽSKÉM,KŘIŽOVNICKÉN NÁMĚSTÍ NA STARÉM MĚSTĚ PRAŽSKÉM,,,ces_Latn,1.0000,ces_Latn,1.0000,53.00,6,45,0.0000,0,0,0,0,0,0,0.0000,0.3500,0.3750,True,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX199603106,1,5,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.6352,CTX199603106,1,6,Číslo vý=kumu 21/93,Číslo vý=kumu 21/93,,,ces_Latn,0.6853,ces_Latn,0.6853,268.00,3,19,0.1053,0,0,0,0,0,0,0.1333,0.3846,0.5455,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,7,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.7098,CTX199603106,1,8,Obsah :,Obsah :,,,ces_Latn,0.5793,ces_Latn,0.5793,486.00,2,7,0.1429,0,0,0,0,0,0,0.0000,0.3333,0.6000,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,9,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.7665,CTX199603106,1,10,1. Dějiny objektu 1,1. Dějiny objektu 1,,,ces_Latn,1.0000,ces_Latn,1.0000,49.75,4,19,0.0526,0,0,0,0,0,0,0.0625,0.4286,0.5385,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,11,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.6807,CTX199603106,1,12,"2, Popis nálezu i - 3","2, Popis nálezu i - 3",,,ces_Latn,0.9790,ces_Latn,0.9790,268.00,6,21,0.0952,0,0,0,0,0,0,0.3167,0.4286,0.6667,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,13,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.6537,CTX199603106,1,14,3. Vyhodnocení nálezu 3 - 4,3. Vyhodnocení nálezu 3 - 4,,,ces_Latn,0.9968,ces_Latn,0.9968,39.25,6,27,0.0741,0,0,0,0,0,0,0.3167,0.4211,0.7059,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,15,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.6612,CTX199603106,1,16,4. Literatura 5,4. Literatura 5,,,ces_Latn,0.7500,cat_Latn,0.3869,334.00,3,15,0.0667,0,0,0,0,0,0,0.0833,0.4545,0.2000,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,17,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.8308,CTX199603106,1,18,5. Popis fotografií a plánků 5,5. Popis fotografií a plánků 5,,,ces_Latn,1.0000,ces_Latn,1.0000,174.00,6,30,0.0333,0,0,0,0,0,0,0.0417,0.4348,0.3636,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX199603106,1,19,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX199603106,1,20,6. Fotogra f 1 e 1 - 3,6. Fotogra f 1 e 1 - 3,,,,0.0,,0.0,0.0,0,22,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Empty,0.0,CTX199603106,1,21,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.5500,CTX199603106,1,22,"7, Plánky 1 - 2","7, Plánky 1 - 2",,,slk_Latn,0.6903,slk_Latn,0.6903,153.00,5,15,0.1333,0,0,0,0,0,0,0.4300,0.2500,0.5000,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,1,23,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Noisy,0.6497,CTX199603106,1,24,V Prase 15. 1. 1995,V Prase 15. 1. 1995,,,ces_Latn,0.6623,ces_Latn,0.6623,33.00,5,19,0.1053,0,0,0,0,0,0,0.2800,0.2500,0.6667,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9409,CTX199603106,1,25,PhDr. Zdeněk Dragoun,PhDr. Zdeněk Dragoun,,,ces_Latn,0.9986,ces_Latn,0.9986,216.00,3,20,0.0500,0,0,0,0,0,0,0.0000,0.2778,0.5882,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9785,CTX199603106,2,1,Dějiny objektu,Dějiny objektu,,,ces_Latn,1.0000,ces_Latn,1.0000,53.75,2,14,0.0000,0,0,0,0,0,0,0.0000,0.4615,0.5385,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX199603106,2,2,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9478,CTX199603106,2,3,Jako nejstarší dm se v této bezprostřední blízkosti Karlova,Jako nejstarší dm se v této bezprostřední blízkosti Karlova,,,ces_Latn,1.0000,ces_Latn,1.0000,63.75,9,59,0.0000,0,0,0,0,0,0,0.0000,0.3529,0.4902,False,False,False,False,False,False,True,False,False,False,False
Clear,0.8646,CTX199603106,2,4,mostu uvádí domek mosteckého celného v letech 1406 - 1430.,mostu uvádí domek mosteckého celného v letech 1406 - 1430.,,,ces_Latn,0.9999,ces_Latn,0.9999,53.75,10,58,0.0345,0,0,0,0,0,0,0.0000,0.3902,0.5641,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9749,CTX199603106,2,5,Spolehlivé písemné doložená existence zástavby pochází až z roku,Spolehlivé písemné doložená existence zástavby pochází až z roku,,,ces_Latn,0.9979,ces_Latn,0.9979,84.50,9,64,0.0000,0,1,0,0,0,0,0.0611,0.4286,0.5714,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9210,CTX199603106,2,6,"""1640, kdy je zde jednoznačné lokalizována ""nákladné vystavěný dům""","1640, kdy je zde jednoznačné lokalizována ""nákladné vystavěný dům""",,,ces_Latn,1.0000,ces_Latn,1.0000,35.25,9,67,0.0597,0,0,0,0,0,0,0.0000,0.3818,0.5490,False,False,True,False,False,False,False,False,False,False,False
Clear,0.9775,CTX199603106,2,7,celnice. Tento objekt je zřetelně zachycen na Sadelerové prospektu,celnice. Tento objekt je zřetelně zachycen na Sadelerové prospektu,,,ces_Latn,0.9997,ces_Latn,0.9997,99.00,9,66,0.0152,0,0,0,0,0,0,0.0000,0.3966,0.5439,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9011,CTX199603106,2,8,"z roku 1606. V dalžím vývoj i byl o na budově dostaveno 3. patro,","z roku 1606. V dalžím vývoj i byl o na budově dostaveno 3. patro,",,,ces_Latn,1.0000,ces_Latn,1.0000,90.00,14,65,0.0462,0,0,0,0,0,0,0.0607,0.4043,0.6136,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9903,CTX199603106,2,9,které zaznamenávají mladší ikonografické prameny včetně Langveilova,které zaznamenávají mladší ikonografické prameny včetně Langveilova,,,ces_Latn,1.0000,ces_Latn,1.0000,39.25,7,67,0.0000,0,0,0,0,0,0,0.0000,0.4262,0.4262,False,False,True,False,False,False,False,False,False,False,False
Clear,0.9799,CTX199603106,2,10,modelu. Dnešní vzhled budovy je výsledkem klasicistní přestavby,modelu. Dnešní vzhled budovy je výsledkem klasicistní přestavby,,,ces_Latn,1.0000,ces_Latn,1.0000,56.25,8,63,0.0159,0,0,0,0,0,0,0.0000,0.3571,0.6364,False,False,False,False,False,False,True,False,False,False,False
Noisy,0.6561,CTX199603106,2,11,"z roku 1841 (Vilímková - Ebel 1988, s. 1 - 4).","z roku 1841 (Vilímková - Ebel 1988, s. 1 - 4).",,,ces_Latn,0.7857,ces_Latn,0.7857,41.75,11,46,0.1522,0,0,0,0,0,0,0.2773,0.3077,0.5789,False,False,False,False,False,True,False,False,False,False,False
Empty,0.0,CTX199603106,2,12,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9465,CTX199603106,2,13,Popis nálezu,Popis nálezu,,,ces_Latn,0.9915,ces_Latn,0.9915,444.00,2,12,0.0000,0,0,0,0,0,0,0.0000,0.4545,0.7273,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX199603106,2,14,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9519,CTX199603106,2,15,V březnu 1993 byla v rámci rekonstrukčních prací na objektu,V březnu 1993 byla v rámci rekonstrukčních prací na objektu,,,ces_Latn,1.0000,ces_Latn,1.0000,23.88,10,59,0.0000,0,0,0,1,0,0,0.0000,0.3478,0.4783,False,False,True,False,False,False,False,False,False,False,False
Clear,0.9890,CTX199603106,2,16,snižována podlaha v jedné z místnosti při západní fasádě objektu nad,snižována podlaha v jedné z místnosti při západní fasádě objektu nad,,,ces_Latn,1.0000,ces_Latn,1.0000,58.00,11,68,0.0000,0,0,0,0,0,0,0.0000,0.3966,0.5345,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9637,CTX199603106,2,17,tzv. lagunou jižně od Karlova mostu. Při této příležitosti bylo,tzv. lagunou jižně od Karlova mostu. Při této příležitosti bylo,,,ces_Latn,1.0000,ces_Latn,1.0000,44.50,10,63,0.0317,0,0,0,0,0,0,0.0500,0.4074,0.4615,False,False,True,False,False,False,False,False,False,False,False
Clear,0.9673,CTX199603106,2,18,"odhaleno v delším úseku zdlvo, zaznamenané při stavebně historickém","odhaleno v delším úseku zdlvo, zaznamenané při stavebně historickém",,,ces_Latn,1.0000,ces_Latn,1.0000,230.00,9,67,0.0149,0,0,0,0,0,0,0.0000,0.3898,0.5517,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9852,CTX199603106,2,19,průzkumu objektu a interpretované jako torzo prvního pilíře Karlova,průzkumu objektu a interpretované jako torzo prvního pilíře Karlova,,,ces_Latn,1.0000,ces_Latn,1.0000,102.00,9,67,0.0000,0,0,0,0,0,0,0.0000,0.4237,0.4746,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9757,CTX199603106,2,20,mostu od staroměstského břehu. Ze zdivá byla v inkriminované,mostu od staroměstského břehu. Ze zdivá byla v inkriminované,,,ces_Latn,1.0000,ces_Latn,1.0000,96.00,9,60,0.0167,0,0,0,0,0,0,0.0000,0.4038,0.5686,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9086,CTX199603106,2,21,"místnosti odhalena západní líc, probíhající ve směru SSZ - JJV.","místnosti odhalena západní líc, probíhající ve směru SSZ - JJV.",,,ces_Latn,1.0000,ces_Latn,1.0000,82.00,10,63,0.0476,0,0,0,0,0,0,0.1000,0.3519,0.4902,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9744,CTX199603106,2,22,Vlastní hmota zdivá dosahovala až k východní stěně místnosti. Na,Vlastní hmota zdivá dosahovala až k východní stěně místnosti. Na,,,ces_Latn,1.0000,ces_Latn,1.0000,50.50,10,64,0.0156,0,1,0,0,0,0,0.0350,0.3818,0.4630,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9687,CTX199603106,2,23,nevelkém dochovaném úseku bylo zdivo překryto podlahou z cihel,nevelkém dochovaném úseku bylo zdivo překryto podlahou z cihel,,,ces_Latn,1.0000,ces_Latn,1.0000,296.00,9,62,0.0000,0,0,0,0,0,0,0.0000,0.4259,0.5926,False,False,False,False,False,False,True,False,False,False,False
Noisy,0.7877,CTX199603106,2,24,"formátu 30 x 14 x 6,5 cm. Před snižováním úrovně byla líc zdi","formátu 30 x 14 x 6,5 cm. Před snižováním úrovně byla líc zdi",,,ces_Latn,1.0000,ces_Latn,1.0000,31.62,13,61,0.0328,0,0,0,0,0,0,0.1308,0.3488,0.5366,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9777,CTX199603106,2,25,"zachycena pouze při severní stěně místnosti, do níž vystupovalo","zachycena pouze při severní stěně místnosti, do níž vystupovalo",,,ces_Latn,1.0000,ces_Latn,1.0000,84.50,9,63,0.0159,0,0,0,0,0,0,0.0000,0.4182,0.6111,False,False,False,False,False,False,True,False,False,False,False
Noisy,0.7999,CTX199603106,2,26,"torzo 70 cm vysoké a cm dlouhé. Po snížení podlahy bylo zřejmé, že","torzo 70 cm vysoké a cm dlouhé. Po snížení podlahy bylo zřejmé, že",,,ces_Latn,1.0000,ces_Latn,1.0000,27.50,13,66,0.0303,0,0,0,0,0,0,0.0000,0.4038,0.5800,False,False,False,False,False,True,False,False,False,False,False
Clear,0.9628,CTX199603106,2,27,"se jednalo pouze o nepatrnou část zdivá, probíhajícího přes celou","se jednalo pouze o nepatrnou část zdivá, probíhajícího přes celou",,,ces_Latn,1.0000,ces_Latn,1.0000,87.00,10,65,0.0154,0,0,0,0,0,0,0.0850,0.4464,0.5818,False,False,False,False,False,False,True,False,False,False,False
Empty,0.0,CTX199603106,2,28,,,,,,0.0,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Non-text,0.0,CTX199603106,2,29,1,1,,,,0.0,,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False
Clear,0.9864,CTX199603106,3,1,délku místnosti a vertikálně pokračujícího do dále nesledované,délku místnosti a vertikálně pokračujícího do dále nesledované,,,ces_Latn,1.0000,ces_Latn,1.0000,74.50,8,62,0.0000,0,0,0,0,0,0,0.0000,0.4364,0.4727,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9653,CTX199603106,3,2,hloubky. Výkop v interiéru zasáhl do písčité vrstvy násypového,hloubky. Výkop v interiéru zasáhl do písčité vrstvy násypového,,,ces_Latn,0.8433,ces_Latn,0.8433,96.00,9,62,0.0161,0,0,0,1,0,0,0.0000,0.4074,0.5283,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9266,CTX199603106,3,3,"charakteru s příměsí malty a úlomků opuky a cihel, ani ä v ní byly","charakteru s příměsí malty a úlomků opuky a cihel, ani ä v ní byly",,,ces_Latn,1.0000,ces_Latn,1.0000,286.00,14,66,0.0152,0,0,0,0,0,0,0.0607,0.4717,0.4038,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9669,CTX199603106,3,4,nalezeny chronologicky citlivé artefakty. Vlastní hmota zdivá až,nalezeny chronologicky citlivé artefakty. Vlastní hmota zdivá až,,,ces_Latn,0.9893,ces_Latn,0.9893,216.00,8,64,0.0156,0,0,0,0,0,0,0.0000,0.4035,0.3929,False,False,False,False,False,False,True,False,False,False,False
Clear,0.9878,CTX199603106,3,5,k východní zdi místnosti byla vyaděna výlučně z lomové opuky,k východní zdi místnosti byla vyaděna výlučně z lomové opuky,,,ces_Latn,1.0000,ces_Latn,1.0000,52.00,10,60,0.0000,0,0,0,0,0,0,0.0000,0.4314,0.5686,False,False,False,False,False,False,True,False,False,False,False
